"File","Line","Column","Level","Text","Context","Fix"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","488","45","ERROR","实体已存在","return Results.Conflict(new ErrorResponse(""实体已存在"", ""ENTITY_EXISTS""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","515","32","ERROR","","return Results.BadRequest(new ErrorResponse($""字段 {fieldDto.PropertyName} 的显示名至少需要提供一种语言的文本"", ""VALIDATION_ERROR""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","515","55","ERROR","","return Results.BadRequest(new ErrorResponse($""字段 {fieldDto.PropertyName} 的显示名至少需要提供一种语言的文本"", ""VALIDATION_ERROR""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","629","24","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","629","45","ERROR","实体定义不存在","return Results.NotFound(new ErrorResponse(""实体定义不存在"", ""ENTITY_NOT_FOUND""));","I18n.T(""ERR_XXX"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","639","28","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被引用，不能修改命名空间"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","639","51","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被引用，不能修改命名空间"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","642","28","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被引用，不能修改实体名"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","642","51","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被引用，不能修改实体名"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
"C:\workspace\bobcrm\src\BobCrm.Api\Endpoints\EntityDefinitionEndpoints.cs","655","32","ERROR","","return Results.BadRequest(new ErrorResponse(""实体已被引用，不能删除字段"", ""ENTITY_LOCKED""));","I18n.T(""ERR_"")"
